Year,Round,Driver,Q_DeltaToPole,Q_Session
2022,7,MSC,1.7049999999999983,Q2
2022,7,ALB,2.234999999999999,Q1
2022,7,GAS,2.283999999999992,Q1
2022,7,STR,2.3019999999999925,Q1
2022,7,LAT,3.027000000000001,Q1
2022,7,ZHO,4.22999999999999,Q1
2022,8,LEC,0.0,Q3
2022,8,PER,0.2819999999999822,Q3
2022,8,VER,0.3469999999999942,Q3
2022,8,SAI,0.4549999999999841,Q3
2022,8,RUS,1.3529999999999944,Q3
2022,8,GAS,1.48599999999999,Q3
2022,8,HAM,1.5649999999999975,Q3
2022,8,TSU,1.6969999999999883,Q3
2022,8,VET,1.731999999999999,Q3
2022,8,ALO,1.813999999999993,Q3
2022,8,NOR,2.0389999999999873,Q2
2022,8,RIC,2.214999999999989,Q2
2022,8,OCO,2.225999999999999,Q2
2022,8,ZHO,2.430999999999983,Q2
2022,8,BOT,3.0849999999999937,Q2
2022,8,MAG,3.283999999999992,Q1
2022,8,ALB,3.359999999999985,Q1
2022,8,LAT,4.007999999999981,Q1
2022,8,STR,4.0120000000000005,Q1
2022,8,MSC,4.415999999999997,Q1
2022,13,RUS,0.0,Q3
2022,13,SAI,0.0439999999999969,Q3
2022,13,LEC,0.1900000000000119,Q3
2022,13,NOR,0.3920000000000101,Q3
2022,13,OCO,0.6410000000000053,Q3
2022,13,ALO,0.7010000000000076,Q3
2022,13,HAM,0.7650000000000006,Q3
2022,13,BOT,0.7800000000000011,Q3
2022,13,RIC,1.0020000000000095,Q3
2022,13,VER,1.4460000000000122,Q3
2022,13,PER,1.1389999999999958,Q2
2022,13,ZHO,1.1960000000000122,Q2
2022,13,MAG,1.4480000000000075,Q2
2022,13,STR,1.7600000000000051,Q2
2022,13,MSC,1.8250000000000028,Q2
2022,13,TSU,1.8629999999999995,Q1
2022,13,ALB,1.8790000000000049,Q1
2022,13,VET,1.8960000000000008,Q1
2022,13,GAS,2.1500000000000057,Q1
2022,13,LAT,2.192999999999998,Q1
2022,18,VER,0.0,Q3
2022,18,LEC,0.0099999999999909,Q3
2022,18,SAI,0.0570000000000021,Q3
2022,18,PER,0.4050000000000011,Q3
2022,18,OCO,0.86099999999999,Q3
2022,18,HAM,0.9569999999999936,Q3
2022,18,ALO,1.018000000000001,Q3
2022,18,RUS,1.0849999999999935,Q3
2022,18,VET,1.25,Q3
2022,18,NOR,1.698999999999998,Q3
2022,18,RIC,1.3549999999999898,Q2
2022,18,BOT,1.4050000000000011,Q2
2022,18,TSU,1.503999999999991,Q2
2022,18,ZHO,1.649000000000001,Q2
2022,18,MSC,2.134999999999991,Q2
2022,18,ALB,2.007000000000005,Q1
2022,18,GAS,2.0180000000000007,Q1
2022,18,MAG,2.048000000000002,Q1
2022,18,STR,2.114999999999995,Q1
2022,18,LAT,2.2069999999999936,Q1
2023,1,VER,0.0,Q3
2023,1,PER,0.1380000000000052,Q3
2023,1,LEC,0.2920000000000016,Q3
2023,1,SAI,0.4459999999999979,Q3
2023,1,ALO,0.6280000000000001,Q3
2023,1,RUS,0.632000000000005,Q3
2023,1,HAM,0.6760000000000019,Q3
2023,1,STR,1.128,Q3
2023,1,OCO,1.2760000000000105,Q3
2023,1,HUL,1.100999999999999,Q2
2023,1,NOR,1.6730000000000018,Q2
2023,1,BOT,1.7349999999999994,Q2
2023,1,ZHO,1.7650000000000006,Q2
2023,1,TSU,2.8019999999999925,Q2
2023,1,ALB,1.753,Q1
2023,1,SAR,1.9440000000000024,Q1
2023,1,MAG,2.1839999999999975,Q1
2023,1,PIA,2.3930000000000007,Q1
2023,1,DEV,2.413000000000011,Q1
2023,1,GAS,2.472999999999999,Q1
2023,6,VER,0.0,Q3
2023,6,ALO,0.0840000000000031,Q3
2023,6,LEC,0.1060000000000087,Q3
2023,6,OCO,0.1880000000000024,Q3
2023,6,SAI,0.2650000000000005,Q3
2023,6,HAM,0.3599999999999994,Q3
2023,6,GAS,0.5679999999999978,Q3
2023,6,RUS,0.5990000000000038,Q3
2023,6,TSU,0.7169999999999987,Q3
2023,6,NOR,0.88900000000001,Q3
2023,6,PIA,1.0300000000000011,Q2
2023,6,DEV,1.0630000000000024,Q2
2023,6,ALB,1.162000000000006,Q2
2023,6,STR,1.2580000000000098,Q2
2023,6,BOT,1.2600000000000051,Q2
2023,6,SAR,1.7480000000000049,Q1
2023,6,MAG,1.9050000000000011,Q1
2023,6,HUL,1.9140000000000017,Q1
2023,6,ZHO,2.1580000000000013,Q1
2023,6,PER,2.484999999999999,Q1
2023,11,HAM,0.0,Q3
2023,11,VER,0.0029999999999859,Q3
2023,11,NOR,0.0849999999999937,Q3
2023,11,PIA,0.2959999999999922,Q3
2023,11,ZHO,0.3619999999999947,Q3
2023,11,LEC,0.3829999999999955,Q3
2023,11,BOT,0.4249999999999829,Q3
2023,11,ALO,0.4259999999999877,Q3
2023,11,PER,0.4359999999999928,Q3
2023,11,HUL,0.5769999999999982,Q3
2023,11,SAI,1.093999999999994,Q2
2023,11,OCO,1.231999999999999,Q2
2023,11,RIC,1.3929999999999865,Q2
2023,11,STR,1.5349999999999966,Q2
2023,11,GAS,1.60799999999999,Q2
2023,11,ALB,2.3079999999999927,Q1
2023,11,TSU,2.309999999999988,Q1
2023,11,RUS,2.417999999999992,Q1
2023,11,MAG,2.596999999999994,Q1
2023,11,SAR,2.638999999999996,Q1
2023,15,SAI,0.0,Q3
2023,15,RUS,0.0719999999999885,Q3
2023,15,LEC,0.0789999999999935,Q3
2023,15,NOR,0.2859999999999871,Q3
2023,15,HAM,0.5009999999999906,Q3
2023,15,MAG,0.590999999999994,Q3
2023,15,ALO,0.630999999999986,Q3
2023,15,OCO,0.688999999999993,Q3
2023,15,HUL,0.8239999999999839,Q3
2023,15,LAW,1.2839999999999918,Q3
2023,15,VER,1.188999999999993,Q2
2023,15,GAS,1.289999999999992,Q2
2023,15,PER,1.3259999999999934,Q2
2023,15,ALB,2.734999999999985,Q2
2023,15,TSU,1.0069999999999908,Q1
2023,15,BOT,1.8249999999999889,Q1
2023,15,PIA,1.917999999999992,Q1
2023,15,SAR,2.2680000000000007,Q1
2023,15,ZHO,2.274000000000001,Q1
2023,15,STR,2.4129999999999825,Q1
2023,20,VER,0.3970000000000055,Q3
2023,20,LEC,0.6910000000000025,Q3
2023,20,STR,1.0139999999999958,Q3
2023,20,ALO,1.0570000000000022,Q3
2023,20,HAM,1.1389999999999958,Q3
2023,20,RUS,1.2600000000000051,Q3
2023,20,NOR,1.6569999999999965,Q3
