Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points
2022,19,HAM,mercedes,3,2,0,18.0
2022,19,LEC,ferrari,12,3,0,15.0
2022,19,PER,red_bull,9,4,0,12.0
2022,19,RUS,mercedes,4,5,0,11.0
2022,19,NOR,mclaren,6,6,0,8.0
2022,19,ALO,alpine,14,7,0,6.0
2022,19,VET,aston_martin,10,8,0,4.0
2022,19,MAG,haas,13,9,0,2.0
2022,19,TSU,alphatauri,19,10,0,1.0
2022,19,OCO,alpine,0,11,0,0.0
2022,19,ZHO,alfa,18,12,0,0.0
2022,19,ALB,williams,8,13,0,0.0
2022,19,GAS,alphatauri,11,14,0,0.0
2022,19,MSC,haas,16,15,0,0.0
2022,19,RIC,mclaren,15,16,0,0.0
2022,19,LAT,williams,17,17,0,0.0
2022,19,STR,aston_martin,5,18,1,0.0
2022,19,BOT,alfa,7,19,1,0.0
2022,19,SAI,ferrari,1,20,1,0.0
2022,20,VER,red_bull,1,1,0,25.0
2022,20,HAM,mercedes,3,2,0,18.0
2022,20,PER,red_bull,4,3,0,15.0
2022,20,RUS,mercedes,2,4,0,13.0
2022,20,SAI,ferrari,5,5,0,10.0
2022,20,LEC,ferrari,7,6,0,8.0
2022,20,RIC,mclaren,11,7,0,6.0
2022,20,OCO,alpine,10,8,0,4.0
2022,20,NOR,mclaren,8,9,0,2.0
2022,20,BOT,alfa,6,10,0,1.0
2022,20,GAS,alphatauri,14,11,0,0.0
2022,20,ALB,williams,17,12,0,0.0
2022,20,ZHO,alfa,12,13,0,0.0
2022,20,VET,aston_martin,16,14,0,0.0
2022,20,STR,aston_martin,20,15,0,0.0
2022,20,MSC,haas,15,16,0,0.0
2022,20,MAG,haas,19,17,0,0.0
2022,20,LAT,williams,18,18,0,0.0
2022,20,ALO,alpine,9,19,1,0.0
2022,20,TSU,alphatauri,13,20,1,0.0
2022,21,RUS,mercedes,1,1,0,26.0
2022,21,HAM,mercedes,2,2,0,18.0
2022,21,SAI,ferrari,7,3,0,15.0
