Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points,Team_Rolling_Avg_Finish,Team_Rolling_DNF_Rate,Driver_Rolling_Avg_Points,Median_FuelCorrectedLapTime,Best_FuelCorrectedLapTime,Num_Stints,Avg_TrackTemp,Is_Wet_Race,Q_DeltaToPole,Q_Session,Driver_Championship_Pos,Driver_Championship_Pts,Constructor_Championship_Pos,CircuitId,CircuitType,OvertakingIndex
2022,1,LEC,ferrari,1,1,0,26.0,,,,95.78247368421053,94.22263157894736,4.0,27.417391304347827,0.0,0.0,Q3,,,,bahrain,permanent,7
2022,1,SAI,ferrari,3,2,0,18.0,,,,96.18302631578948,94.85621052631579,4.0,27.45,0.0,0.1290000000000049,Q3,,,,bahrain,permanent,7
2022,1,HAM,mercedes,5,3,0,15.0,,,,96.45021052631579,95.15473684210527,4.0,27.411627906976744,0.0,0.6800000000000068,Q3,,,,bahrain,permanent,7
2022,1,RUS,mercedes,9,4,0,12.0,,,,96.75468421052632,95.7732105263158,4.0,27.420454545454547,0.0,1.6580000000000157,Q3,,,,bahrain,permanent,7
2022,1,MAG,haas,7,5,0,10.0,,,,97.15157894736842,95.59431578947368,4.0,27.433333333333334,0.0,1.25,Q3,,,,bahrain,permanent,7
2022,1,BOT,alfa,6,6,0,8.0,,,,97.78721052631579,95.54100000000001,4.0,27.41333333333333,0.0,1.0020000000000095,Q3,,,,bahrain,permanent,7
2022,1,OCO,alpine,11,7,0,6.0,,,,97.5698947368421,96.24199999999999,4.0,27.43953488372093,0.0,1.2240000000000038,Q2,,,,bahrain,permanent,7
2022,1,TSU,alphatauri,16,8,0,4.0,,,,97.60057894736842,96.43763157894738,4.0,27.416279069767445,0.0,2.1920000000000073,Q1,,,,bahrain,permanent,7
2022,1,ALO,alpine,8,9,0,2.0,,,,97.71876315789473,95.98036842105263,4.0,27.404761904761905,0.0,1.6370000000000005,Q3,,,,bahrain,permanent,7
2022,1,ZHO,alfa,15,10,0,1.0,,,,97.96789473684211,95.64289473684211,4.0,27.404545454545453,0.0,2.9850000000000136,Q2,,,,bahrain,permanent,7
2022,1,MSC,haas,12,11,0,0.0,,,,98.57331578947368,95.7981052631579,3.0,27.42325581395349,0.0,1.440000000000012,Q2,,,,bahrain,permanent,7
2022,1,STR,aston_martin,19,12,0,0.0,,,,98.65086842105262,96.62878947368421,4.0,27.445238095238096,0.0,2.474000000000004,Q1,,,,bahrain,permanent,7
2022,1,ALB,williams,14,13,0,0.0,,,,98.71021052631578,97.08542105263157,4.0,27.44651162790698,0.0,2.1060000000000088,Q2,,,,bahrain,permanent,7
2022,1,RIC,mclaren,18,14,0,0.0,,,,98.73042105263158,97.17399999999999,4.0,27.433333333333334,0.0,2.3870000000000005,Q1,,,,bahrain,permanent,7
2022,1,NOR,mclaren,13,15,0,0.0,,,,98.89778947368421,96.39347368421052,4.0,27.461904761904766,0.0,1.450000000000017,Q2,,,,bahrain,permanent,7
2022,1,LAT,williams,20,16,0,0.0,,,,99.11378947368421,96.86531578947368,4.0,27.44651162790698,0.0,3.0760000000000076,Q1,,,,bahrain,permanent,7
2022,1,HUL,aston_martin,17,17,0,0.0,,,,98.9925,97.09578947368422,4.0,27.447619047619046,0.0,2.2190000000000083,Q1,,,,bahrain,permanent,7
2022,1,PER,red_bull,4,18,1,0.0,,,,96.25492105263159,94.3182105263158,4.0,27.454761904761902,0.0,0.3629999999999995,Q3,,,,bahrain,permanent,7
2022,1,VER,red_bull,2,19,1,0.0,,,,96.1148947368421,94.53131578947368,4.0,27.524390243902438,0.0,0.1230000000000046,Q3,,,,bahrain,permanent,7
2022,1,GAS,alphatauri,10,20,1,0.0,,,,97.50989473684211,95.99242105263157,3.0,27.58205128205128,0.0,1.7800000000000011,Q3,,,,bahrain,permanent,7
